,PB110_D1,PB122_E_S47_L005_R1_001,PB149_E,PB205_D1_GTGGCC_L004_R1,PB214_B6_CAACTA_L001_R1,PNIBD01_D_S22_L002_R1_001,PNIBD47_G,PNIBD51_D
hsa-mir-100-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-100-5p,8353.481965,20951.04516,5631.770859,12288.43965,60151.36928,33336.49052,19912.51979,79645.95974
hsa-mir-100-5p_-_1,0,0,0,0,10.57033449,0,0,0
hsa-mir-100-5p_+_1,92.15093177,142.0297874,103.2540493,55.36718742,566.3937565,193.2987899,53.79525296,289.5926884
hsa-mir-100-5p_+_2,0,0,22.1258677,0,92.49042679,25.67249553,0,23.91132289
hsa-mir-100-5p_+_3,69.11319883,115.6056409,0,58.44314228,303.0162554,48.32469748,57.93334934,176.678108
hsa-mir-100-5p_+_4,124.4037579,85.87847612,23.60092555,0,269.5435295,96.64939495,49.65715658,123.5418349
hsa-mir-100-5p_+_5,0,39.63621975,0,0,109.2267897,24.16234874,82.76192763,62.43512089
hsa-mir-100-5p_+_6,0,0,0,0,0,0,0,0
hsa-mir-100-5p_+_7,0,0,0,0,0,0,0,0
hsa-mir-101-1-3p,8841.881903,8026.334499,8362.102933,9129.434015,30372.9753,9500.333495,7643.064017,15846.56504
hsa-mir-101-1-3p_-_1,5294.07103,4069.318561,3500.31227,5333.705722,9255.208708,2766.588931,3120.124672,4491.343483
hsa-mir-101-1-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-101-1-3p_+_1,0,0,0,0,48.44736642,27.18264233,0,27.89654337
hsa-mir-101-1-3p_+_2,0,0,0,0,38.75789313,22.65220194,0,31.88176386
hsa-mir-101-1-3p_+_3,0,36.33320144,23.60092555,0,58.1368397,43.79425709,49.65715658,19.92610241
hsa-mir-101-1-3p_+_4,0,0,19.17575201,36.91145828,28.18755864,0,0,0
hsa-mir-101-1-3p_+_5,0,0,0,0,12.33205691,19.63190835,0,0
hsa-mir-101-1-5p,0,42.93923806,0,0,96.01387162,0,0,19.92610241
hsa-mir-101-1-5p_-_1,0,75.96942119,0,101.5065103,197.3129105,0,0,51.80786627
hsa-mir-101-2-3p,9182.840351,8366.545385,8825.271097,9443.181411,31542.75898,9882.400634,7941.006956,16565.23314
hsa-mir-101-2-3p_-_1,5312.501216,4082.530634,3500.31227,5349.085496,9261.374736,2798.302013,3153.229443,4504.627552
hsa-mir-101-2-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-101-2-3p_+_1,0,0,0,0,48.44736642,42.28411029,0,27.89654337
hsa-mir-101-2-3p_+_2,0,0,0,0,40.51961555,22.65220194,0,25.23972972
hsa-mir-101-2-3p_+_3,0,36.33320144,53.10208248,0,62.54114574,43.79425709,49.65715658,19.92610241
hsa-mir-101-2-3p_+_4,0,0,19.17575201,36.91145828,29.94928106,0,0,0
hsa-mir-101-2-3p_+_5,0,0,0,0,14.97464053,19.63190835,0,0
hsa-mir-103a-1-3p,6473.602957,8300.485019,8792.819824,9443.181411,4632.449091,5729.496945,5900.92544,4046.327196
hsa-mir-103a-1-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_-_5,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_-_8,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_2,0,59.45432962,41.30161971,0,11.4511957,27.18264233,0,26.56813655
hsa-mir-103a-1-3p_+_3,69.11319883,79.2724395,163.731421,67.67100685,57.25597849,108.7305693,45.5190602,49.15105261
hsa-mir-103a-1-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-103a-1-3p_+_6,55.29055906,36.33320144,20.65080985,0,25.54497502,22.65220194,0,0
hsa-mir-103a-1-3p_+_7,0,0,0,0,0,18.12176155,0,0
hsa-mir-103a-1-3p_+_8,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p,6547.323702,8333.515202,8783.969477,9504.700508,4644.781147,5741.578119,5900.92544,4051.640823
hsa-mir-103a-2-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_-_4,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_1,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_2,0,59.45432962,41.30161971,0,14.97464053,27.18264233,0,26.56813655
hsa-mir-103a-2-3p_+_3,69.11319883,79.2724395,163.731421,67.67100685,57.25597849,108.7305693,45.5190602,49.15105261
hsa-mir-103a-2-3p_+_4,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_5,0,0,0,0,0,0,0,0
hsa-mir-103a-2-3p_+_6,55.29055906,36.33320144,20.65080985,0,25.54497502,22.65220194,0,0
hsa-mir-103a-2-3p_+_7,0,0,0,0,0,18.12176155,0,0
hsa-mir-103a-2-3p_+_8,0,0,0,0,0,0,0,0
hsa-mir-103a-2-5p,0,0,0,0,0,0,0,0
hsa-mir-106a-3p_-_1,0,0,0,0,0,0,0,0
hsa-mir-106a-3p_-_2,0,0,0,0,0,0,0,0
hsa-mir-106a-5p,0,0,0,0,44.04306038,0,78.62383125,0
hsa-mir-106a-5p_+_1,0,0,0,0,0,0,0,0
